t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
0,6e-06,0,293.15,125325,101325,6e-06,0
1e-09,6e-06,6.23448e-05,293.15,125325,101243,6e-06,-5.74997e-12
6e-09,6e-06,0.000579153,293.15,125325,100833,6e-06,-2.84093e-10
1.6e-08,6.00002e-06,0.00263628,293.148,125323,100013,6.00002e-06,-3.10153e-09
2.6e-08,6.00006e-06,0.00605284,293.144,125319,99193.5,6.00006e-06,-1.09916e-08
3.6e-08,6.00014e-06,0.0108205,293.137,125310,98373.9,6.00014e-06,-2.63402e-08
4.6e-08,6.00028e-06,0.0169287,293.124,125296,97554.3,6.00028e-06,-5.14356e-08
5.6e-08,6.00048e-06,0.0243645,293.105,125275,96734.9,6.00048e-06,-8.84673e-08
6.6e-08,6.00077e-06,0.0331127,293.079,125246,95915.7,6.00077e-06,-1.39525e-07
7.6e-08,6.00115e-06,0.0431558,293.045,125208,95096.7,6.00115e-06,-2.06597e-07
8.6e-08,6.00164e-06,0.0544743,293.001,125159,94277.9,6.00164e-06,-2.91569e-07
9.6e-08,6.00225e-06,0.0670462,292.948,125098,93459.4,6.00225e-06,-3.96223e-07
1.06e-07,6.00298e-06,0.0808476,292.884,125024,92641.2,6.00298e-06,-5.22237e-07
1.16e-07,6.00387e-06,0.0958525,292.808,124937,91823.4,6.00387e-06,-6.71182e-07
1.26e-07,6.0049e-06,0.112033,292.72,124834,91005.9,6.0049e-06,-8.44523e-07
1.36e-07,6.00611e-06,0.129359,292.618,124716,90188.9,6.00611e-06,-1.04362e-06
1.46e-07,6.0075e-06,0.147798,292.503,124581,89372.3,6.0075e-06,-1.26972e-06
1.56e-07,6.00907e-06,0.167317,292.374,124428,88556.1,6.00907e-06,-1.52397e-06
1.66e-07,6.01085e-06,0.187881,292.23,124256,87740.5,6.01085e-06,-1.80739e-06
1.76e-07,6.01283e-06,0.209452,292.07,124065,86925.4,6.01283e-06,-2.12092e-06
1.86e-07,6.01504e-06,0.231993,291.896,123855,86110.9,6.01504e-06,-2.46537e-06
1.96e-07,6.01747e-06,0.255464,291.705,123623,85296.9,6.01747e-06,-2.84144e-06
2.06e-07,6.02015e-06,0.279822,291.498,123371,84483.6,6.02015e-06,-3.24975e-06
2.16e-07,6.02307e-06,0.305028,291.275,123097,83671,6.02307e-06,-3.69077e-06
2.26e-07,6.02625e-06,0.331036,291.035,122801,82859.1,6.02625e-06,-4.1649e-06
2.36e-07,6.0297e-06,0.357804,290.778,122482,82047.9,6.0297e-06,-4.67241e-06
2.46e-07,6.03341e-06,0.385287,290.505,122141,81237.4,6.03341e-06,-5.2135e-06
2.56e-07,6.0374e-06,0.41344,290.216,121777,80427.8,6.0374e-06,-5.78824e-06
2.66e-07,6.04168e-06,0.442216,289.91,121391,79618.9,6.04168e-06,-6.3966e-06
2.76e-07,6.04625e-06,0.47157,289.587,120981,78811,6.04625e-06,-7.03848e-06
2.86e-07,6.05112e-06,0.501456,289.248,120548,78003.9,6.05112e-06,-7.71365e-06
2.96e-07,6.05628e-06,0.531827,288.894,120092,77197.7,6.05628e-06,-8.42182e-06
3.06e-07,6.06175e-06,0.562639,288.524,119614,76392.5,6.06175e-06,-9.1626e-06
3.16e-07,6.06754e-06,0.593845,288.138,119112,75588.3,6.06754e-06,-9.93552e-06
3.26e-07,6.07363e-06,0.625401,287.738,118589,74785.1,6.07363e-06,-1.074e-05
3.36e-07,6.08004e-06,0.65726,287.323,118043,73982.9,6.08004e-06,-1.15754e-05
3.46e-07,6.08678e-06,0.689381,286.894,117476,73181.8,6.08678e-06,-1.24411e-05
3.56e-07,6.09383e-06,0.721719,286.452,116888,72381.9,6.09383e-06,-1.33362e-05
3.66e-07,6.10121e-06,0.754233,285.997,116279,71583,6.10121e-06,-1.42599e-05
3.76e-07,6.10892e-06,0.786881,285.529,115650,70785.4,6.10892e-06,-1.52114e-05
3.86e-07,6.11695e-06,0.819624,285.049,115001,69988.9,6.11695e-06,-1.61895e-05
3.96e-07,6.12531e-06,0.852422,284.559,114334,69193.7,6.12531e-06,-1.71935e-05
4.06e-07,6.134e-06,0.885239,284.058,113648,68399.8,6.134e-06,-1.8222e-05
4.16e-07,6.14302e-06,0.918038,283.547,112944,67607.1,6.14302e-06,-1.92742e-05
4.26e-07,6.15236e-06,0.950785,283.027,112224,66815.8,6.15236e-06,-2.03488e-05
4.36e-07,6.16203e-06,0.983446,282.498,111488,66025.9,6.16203e-06,-2.14446e-05
4.46e-07,6.17203e-06,1.01599,281.962,110736,65237.3,6.17203e-06,-2.25605e-05
4.56e-07,6.18235e-06,1.04839,281.419,109970,64450.2,6.18235e-06,-2.36953e-05
4.66e-07,6.193e-06,1.08061,280.87,109190,63664.5,6.193e-06,-2.48476e-05
4.76e-07,6.20396e-06,1.11264,280.315,108397,62880.3,6.20396e-06,-2.60162e-05
4.86e-07,6.21525e-06,1.14444,279.756,107592,62097.6,6.21525e-06,-2.71998e-05
4.96e-07,6.22685e-06,1.17598,279.192,106776,61316.5,6.22685e-06,-2.83972e-05
5.06e-07,6.23877e-06,1.20726,278.625,105949,60537,6.23877e-06,-2.96071e-05
5.16e-07,6.25099e-06,1.23825,278.056,105113,59759,6.25099e-06,-3.08282e-05
