t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
5.46e-07,6.13079e-06,0.601923,285.22,114292,81659.5,6.13079e-06,-1.58848e-05
5.56e-07,6.13688e-06,0.615176,284.933,113838,81314,6.13688e-06,-1.64759e-05
5.66e-07,6.14309e-06,0.628213,284.645,113377,80969.2,6.14309e-06,-1.70702e-05
5.76e-07,6.14944e-06,0.641027,284.357,112912,80625.3,6.14944e-06,-1.76672e-05
5.86e-07,6.15591e-06,0.653608,284.068,112442,80282.2,6.15591e-06,-1.82661e-05
5.96e-07,6.16251e-06,0.665949,283.78,111967,79939.9,6.16251e-06,-1.88664e-05
6.06e-07,6.16923e-06,0.678044,283.492,111488,79598.4,6.16923e-06,-1.94676e-05
6.16e-07,6.17607e-06,0.689885,283.204,111005,79257.8,6.17607e-06,-2.00691e-05
6.26e-07,6.18303e-06,0.701467,282.918,110519,78918.1,6.18303e-06,-2.06703e-05
6.36e-07,6.1901e-06,0.712785,282.633,110029,78579.2,6.1901e-06,-2.12706e-05
6.46e-07,6.19728e-06,0.723834,282.349,109537,78241.3,6.19728e-06,-2.18696e-05
6.56e-07,6.20458e-06,0.734611,282.067,109042,77904.3,6.20458e-06,-2.24666e-05
6.66e-07,6.21198e-06,0.745111,281.788,108545,77568.2,6.21198e-06,-2.30612e-05
6.76e-07,6.21948e-06,0.755333,281.51,108046,77233,6.21948e-06,-2.36529e-05
6.86e-07,6.22708e-06,0.765273,281.235,107545,76898.8,6.22708e-06,-2.42411e-05
6.96e-07,6.23478e-06,0.774931,280.963,107043,76565.5,6.23478e-06,-2.48254e-05
7.06e-07,6.24258e-06,0.784304,280.694,106540,76233.2,6.24258e-06,-2.54054e-05
7.16e-07,6.25047e-06,0.793392,280.428,106037,75902,6.25047e-06,-2.59805e-05
7.26e-07,6.25845e-06,0.802194,280.166,105533,75571.7,6.25845e-06,-2.65504e-05
7.36e-07,6.26651e-06,0.810712,279.907,105028,75242.4,6.26651e-06,-2.71147e-05
7.46e-07,6.27466e-06,0.818944,279.652,104524,74914.2,6.27466e-06,-2.76729e-05
7.56e-07,6.28289e-06,0.826892,279.401,104020,74587,6.28289e-06,-2.82247e-05
7.66e-07,6.2912e-06,0.834558,279.154,103517,74260.8,6.2912e-06,-2.87696e-05
7.76e-07,6.29958e-06,0.841943,278.911,103014,73935.8,6.29958e-06,-2.93075e-05
7.86e-07,6.30803e-06,0.849048,278.673,102513,73611.8,6.30803e-06,-2.98378e-05
7.96e-07,6.31656e-06,0.855877,278.439,102013,73288.9,6.31656e-06,-3.03604e-05
8.06e-07,6.32515e-06,0.862431,278.21,101514,72967.1,6.32515e-06,-3.08749e-05
8.16e-07,6.33381e-06,0.868714,277.986,101016,72646.4,6.33381e-06,-3.13811e-05
