t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
5.66e-07,5.94959e-06,-0.22131,296.312,129926,108432,5.94959e-06,6.14735e-06
5.76e-07,5.94736e-06,-0.225637,296.427,130123,108553,5.94736e-06,6.36833e-06
5.86e-07,5.94508e-06,-0.229846,296.543,130324,108672,5.94508e-06,6.59027e-06
5.96e-07,5.94276e-06,-0.233931,296.659,130527,108792,5.94276e-06,6.81294e-06
6.06e-07,5.9404e-06,-0.237886,296.775,130734,108911,5.9404e-06,7.03607e-06
6.16e-07,5.938e-06,-0.241707,296.892,130944,109030,5.938e-06,7.25942e-06
6.26e-07,5.93557e-06,-0.245387,297.008,131157,109149,5.93557e-06,7.48272e-06
6.36e-07,5.93309e-06,-0.248923,297.125,131373,109267,5.93309e-06,7.70571e-06
6.46e-07,5.93059e-06,-0.252308,297.242,131591,109385,5.93059e-06,7.92814e-06
6.56e-07,5.92805e-06,-0.255539,297.358,131812,109503,5.92805e-06,8.14975e-06
6.66e-07,5.92548e-06,-0.258611,297.473,132035,109620,5.92548e-06,8.37027e-06
6.76e-07,5.92288e-06,-0.26152,297.589,132260,109737,5.92288e-06,8.58944e-06
6.86e-07,5.92025e-06,-0.264262,297.703,132488,109854,5.92025e-06,8.80701e-06
6.96e-07,5.91759e-06,-0.266834,297.817,132717,109970,5.91759e-06,9.02271e-06
7.06e-07,5.91491e-06,-0.269231,297.929,132948,110086,5.91491e-06,9.2363e-06
7.16e-07,5.91221e-06,-0.271452,298.041,133180,110202,5.91221e-06,9.4475e-06
7.26e-07,5.90948e-06,-0.273492,298.151,133414,110317,5.90948e-06,9.65608e-06
7.36e-07,5.90674e-06,-0.27535,298.26,133649,110432,5.90674e-06,9.86177e-06
7.46e-07,5.90398e-06,-0.277022,298.367,133885,110547,5.90398e-06,1.00643e-05
7.56e-07,5.9012e-06,-0.278507,298.473,134122,110661,5.9012e-06,1.02635e-05
7.66e-07,5.89841e-06,-0.279803,298.577,134359,110775,5.89841e-06,1.04591e-05
7.76e-07,5.8956e-06,-0.280908,298.679,134597,110888,5.8956e-06,1.06508e-05
7.86e-07,5.89279e-06,-0.281821,298.779,134835,111001,5.89279e-06,1.08384e-05
7.96e-07,5.88997e-06,-0.282542,298.877,135073,111114,5.88997e-06,1.10217e-05
